"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16998-9642","PG","Russell","","Westbrook","56.26923076923077","13","11500","IND@OKC","OKC","IND","","","",""
"16998-12362","C","DeMarcus","","Cousins","45.80769230769231","13","10200","TOR@SAC","SAC","TOR","","","",""
"16998-9714","SG","DeMar","","DeRozan","44.458333333333336","12","9200","TOR@SAC","TOR","SAC","","","",""
"16998-12341","SF","Paul","","George","36.46363691850142","11","8600","IND@OKC","IND","OKC","GTD","Ankle","",""
"16998-14528","SF","Jimmy","","Butler","39.03846153846154","13","8500","CHI@LAL","CHI","LAL","","","",""
"16998-9535","PG","Kyle","","Lowry","37.88333384195963","12","8300","TOR@SAC","TOR","SAC","","","",""
"16998-12366","SF","Gordon","","Hayward","33.400001525878906","8","7300","UTA@DEN","UTA","DEN","","","",""
"16998-9577","SF","Rudy","","Gay","33.40833282470703","12","7000","TOR@SAC","SAC","TOR","","","",""
"16998-42669","PF","Julius","","Randle","30.661538931039665","13","6700","CHI@LAL","LAL","CHI","","","",""
"16998-9446","PG","Jeff","","Teague","29.98461444561298","13","6600","IND@OKC","IND","OKC","","","",""
"16998-40203","C","Rudy","","Gobert","29.285714285714285","14","6500","UTA@DEN","UTA","DEN","","","",""
"16998-12351","PF","Derrick","","Favors","21.990908536044035","11","6500","UTA@DEN","UTA","DEN","O","Knee","",""
"16998-9585","SG","Dwyane","","Wade","30.01538555438702","13","6400","CHI@LAL","CHI","LAL","","","",""
"16998-14521","PF","Kenneth","","Faried","26.666666666666668","12","6300","UTA@DEN","DEN","UTA","","","",""
"16998-9703","PG","George","","Hill","32.785714285714285","7","6300","UTA@DEN","UTA","DEN","GTD","Thumb","",""
"16998-58253","C","Myles","","Turner","29.78461632361779","13","6200","IND@OKC","IND","OKC","","","",""
"16998-58312","PG","D'Angelo","","Russell","27.933334350585938","12","6200","CHI@LAL","LAL","CHI","GTD","Knee","",""
"16998-63124","PG","Emmanuel","","Mudiay","27.65833282470703","12","6000","UTA@DEN","DEN","UTA","","","",""
"16998-9636","SF","Wilson","","Chandler","28.4","10","6000","UTA@DEN","DEN","UTA","","","",""
"16998-9637","SF","Danilo","","Gallinari","25.941665649414062","12","6000","UTA@DEN","DEN","UTA","","","",""
"16998-9624","PG","Darren","","Collison","23.060000610351562","5","5800","TOR@SAC","SAC","TOR","","","",""
"16998-15684","SG","Victor","","Oladipo","25.18461491511418","13","5700","IND@OKC","OKC","IND","","","",""
"16998-14503","C","Jonas","","Valanciunas","27.039999389648436","10","5700","TOR@SAC","TOR","SAC","","","",""
"16998-9526","SG","Monta","","Ellis","23.79230675330529","13","5500","IND@OKC","IND","OKC","","","",""
"16998-9455","PG","Rajon","","Rondo","25.318181818181817","11","5500","CHI@LAL","CHI","LAL","","","",""
"16998-9481","PF","Taj","","Gibson","24.846153846153847","13","5400","CHI@LAL","CHI","LAL","","","",""
"16998-17333","SG","Will","","Barton","28.333333333333332","3","5300","UTA@DEN","DEN","UTA","GTD","Ankle","",""
"16998-15904","SG","Rodney","","Hood","26.7000004695012","13","5200","UTA@DEN","UTA","DEN","","","",""
"16998-9666","PF","Thaddeus","","Young","23.361539400540867","13","5200","IND@OKC","IND","OKC","","","",""
"16998-20640","SG","Jordan","","Clarkson","23.115384615384617","13","5100","CHI@LAL","LAL","CHI","","","",""
"16998-23169","C","Steven","","Adams","24.01538555438702","13","5000","IND@OKC","OKC","IND","","","",""
"16998-9662","SG","Lou","","Williams","25.25384521484375","13","4900","CHI@LAL","LAL","CHI","","","",""
"16998-55057","C","Jusuf","","Nurkic","22.40833282470703","12","4700","UTA@DEN","DEN","UTA","","","",""
"16998-9873","C","Robin","","Lopez","21.807692307692307","13","4700","CHI@LAL","CHI","LAL","","","",""
"16998-14516","PF","Enes","","Kanter","20.676922137920673","13","4600","IND@OKC","OKC","IND","","","",""
"16998-14510","SG","Alec","","Burks","20.332257670740926","31","4500","UTA@DEN","UTA","DEN","O","Ankle","",""
"16998-24544","SG","Gary","","Harris","18.23999938964844","5","4500","UTA@DEN","DEN","UTA","O","Foot","",""
"16998-55062","PF","Nikola","","Jokic","19.616666158040363","12","4400","UTA@DEN","DEN","UTA","","","",""
"16998-9725","SF","C.J.","","Miles","20.400000939002403","13","4400","IND@OKC","IND","OKC","O","Knee","",""
"16998-16201","PG","Michael","","Carter-Williams","12.266666412353516","3","4200","CHI@LAL","CHI","LAL","O","Knee","",""
"16998-14522","PF","Nikola","","Mirotic","18.22307645357572","13","4200","CHI@LAL","CHI","LAL","","","",""
"16998-40200","C","Lucas","","Nogueira","19.683333079020183","6","4100","TOR@SAC","TOR","SAC","GTD","Personal","",""
"16998-9737","SG","Nick","","Young","19.73846200796274","13","4100","CHI@LAL","LAL","CHI","","","",""
"16998-9657","SF","Matt","","Barnes","18.09230745755709","13","4100","TOR@SAC","SAC","TOR","","","",""
