"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16939-6498","QB","Tom","","Brady","23.5","5","9300","NE@SF","NE","SF","","","",""
"16939-28181","RB","Le'Veon","","Bell","19.3000005086263","6","9100","PIT@CLE","PIT","CLE","","","",""
"16939-6894","QB","Aaron","","Rodgers","23.77777777777778","9","9100","GB@WAS","GB","WAS","","","",""
"16939-31360","WR","Odell","","Beckham Jr.","15.366667005750868","9","9000","CHI@NYG","NYG","CHI","","","",""
"16939-11612","WR","Antonio","","Brown","17.833333333333332","9","8900","PIT@CLE","PIT","CLE","","","",""
"16939-38791","RB","Ezekiel","","Elliott","21.38888888888889","9","8700","BAL@DAL","DAL","BAL","","","",""
"16939-14254","RB","DeMarco","","Murray","19.980000305175782","10","8500","TEN@IND","TEN","IND","","","",""
"16939-11460","TE","Rob","","Gronkowski","12.071428571428571","7","8400","NE@SF","NE","SF","O","Chest","",""
"16939-6589","QB","Ben","","Roethlisberger","21.934999465942383","8","8400","PIT@CLE","PIT","CLE","","","",""
"16939-62497","RB","David","","Johnson","22.144444783528645","9","8300","ARI@MIN","ARI","MIN","","","",""
"16939-14187","WR","A.J.","","Green","17.044443766276043","9","8200","BUF@CIN","CIN","BUF","","","",""
"16939-21939","QB","Andrew","","Luck","20.88888888888889","9","8100","TEN@IND","IND","TEN","","","",""
"16939-32384","WR","Mike","","Evans","17.844445122612846","9","8000","TB@KC","TB","KC","","","",""
"16939-29358","QB","Marcus","","Mariota","20.277999877929688","10","8000","TEN@IND","TEN","IND","","","",""
"16939-6654","QB","Matthew","","Stafford","19.391111585828995","9","7900","JAC@DET","DET","JAC","","","",""
"16939-22031","WR","T.Y.","","Hilton","14.344445122612846","9","7900","TEN@IND","IND","TEN","","","",""
"16939-6893","WR","Jordy","","Nelson","14.944444444444445","9","7800","GB@WAS","GB","WAS","","","",""
"16939-6826","QB","Eli","","Manning","16.082222832573784","9","7700","CHI@NYG","NYG","CHI","","","",""
